ID 18 (0,5L 0,5L, 0,3kg INERT)
Time,Acceleration,Altitude,Velocity,Altitude,Thrust
s, m/s/s, m, m/s,feet,N
0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000
0.000000, 40.825475, 0.000000, 0.000000, 0, 537.963515
0.003748, 40.757593, 0.002849, 1.499850, 0, 537.094641
0.007496, 40.556952, 0.011312, 2.994724, 0, 534.526629
0.011245, 40.227152, 0.025361, 4.479803, 0, 530.305614
0.014993, 39.774001, 0.044951, 5.950441, 0, 524.506016
0.018741, 39.205260, 0.070018, 7.402242, 0, 517.227312
0.022439, 38.539977, 0.100044, 8.812243, 0, 508.713423
0.026188, 37.770705, 0.135747, 10.214883, 0, 498.869222
0.029936, 36.917269, 0.176651, 11.587642, 1, 487.948596
0.033684, 35.991677, 0.222640, 12.927648, 1, 476.105388
0.037432, 35.006059, 0.273585, 14.232475, 1, 463.494993
0.037880, 34.884801, 0.280000, 14.385987, 1, 461.943637
0.037880, 115.820269, 0.280000, 14.385987, 1, 0.000000
0.038326, 114.432807, 0.286523, 14.889268, 1, 35.740589
0.038771, 110.681159, 0.293267, 15.380730, 1, 133.119770
0.039186, 105.836149, 0.299755, 15.821338, 1, 258.626709
0.039631, 100.157983, 0.306904, 16.270095, 1, 404.631189
0.040076, 94.745843, 0.314247, 16.694459, 1, 541.606451
0.040492, 90.331657, 0.321266, 17.070554, 1, 650.268828
0.040937, 86.427540, 0.328956, 17.455429, 1, 742.013997
0.041382, 83.339950, 0.336813, 17.825200, 1, 809.166049
0.041797, 81.084405, 0.344292, 18.159604, 1, 852.778802
0.042242, 79.199107, 0.352458, 18.508956, 1, 883.170467
0.042687, 77.730819, 0.360777, 18.851097, 1, 900.662426
0.043103, 76.638310, 0.368678, 19.165297, 1, 908.397222
0.043548, 75.684705, 0.377287, 19.497520, 1, 910.053509
0.043993, 74.893965, 0.386043, 19.825979, 1, 906.864253
0.044408, 74.262797, 0.394346, 20.129677, 1, 900.861428
0.044853, 73.670703, 0.403382, 20.452416, 1, 892.230553
0.045298, 73.143723, 0.412561, 20.772728, 1, 882.095756
0.045714, 72.696753, 0.421256, 21.069716, 1, 871.775320
