# Tempo (s),Coefficiente d'attrito (Cd)
0,0.315
0.003,0.31
0.005,0.297
0.008,0.283
0.011,0.265
0.015,0.251
0.019,0.24
0.022,0.231
0.026,0.224
0.03,0.218
0.034,0.213
0.037,0.209
0.04,0.207
0.042,0.203
0.045,0.202
0.047,0.202
0.05,0.202
0.052,0.202
0.055,0.202
0.057,0.202
0.06,0.202
0.062,0.202
0.065,0.202
0.067,0.202
0.07,0.202
0.072,0.202
0.075,0.202
0.077,0.202
0.08,0.202
0.082,0.202
0.085,0.202
0.089,0.202
0.094,0.202
0.103,0.202
0.115,0.202
0.134,0.202
0.156,0.202
0.178,0.202
0.203,0.202
0.231,0.202
0.266,0.202
0.316,0.202
0.366,0.202
0.416,0.202
0.466,0.202
0.516,0.202
0.56,0.202
0.601,0.202
0.644,0.202
0.693,0.202
0.743,0.202
0.793,0.202
0.843,0.202
0.893,0.202
0.943,0.202
0.993,0.202
1.043,0.204
1.093,0.206
1.143,0.208
1.193,0.209
1.243,0.212
1.293,0.214
1.343,0.216
1.393,0.219
1.443,0.221
1.493,0.224
1.543,0.227
1.593,0.231
1.643,0.235
1.693,0.239
1.743,0.243
1.793,0.248
1.843,0.254
1.893,0.259
1.943,0.265
1.993,0.273
2.043,0.281
2.093,0.288
2.143,0.293
2.193,0.298
2.243,00
2.348,00
2.461,00
2.589,00
2.744,00
2.957,00
3.313,00
3.627,00
3.941,00
4.253,00
4.566,00
4.879,00
5.191,00
5.504,00
5.816,00
6.312,00
