# Tempo (s),coefficiente del momento di beccheggio (​)
0,NaN
0.003,NaN
0.005,NaN
0.008,NaN
0.011,NaN
0.015,NaN
0.019,NaN
0.022,NaN
0.026,NaN
0.03,NaN
0.034,NaN
0.037,NaN
0.04,NaN
0.042,NaN
0.045,NaN
0.047,NaN
0.05,NaN
0.052,NaN
0.055,NaN
0.057,NaN
0.06,NaN
0.062,NaN
0.065,NaN
0.067,NaN
0.07,NaN
0.072,NaN
0.075,NaN
0.077,NaN
0.08,NaN
0.082,NaN
0.085,1.443
0.089,1.446
0.094,1.45
0.103,1.455
0.115,1.464
0.134,1.459
0.156,1.418
0.178,1.323
0.203,1.186
0.231,0.964
0.266,0.667
0.316,0.232
0.366,0.22
0.416,0.598
0.466,0.873
0.516,1.085
0.56,1.21
0.601,1.218
0.644,1.127
0.693,1.054
0.743,0.86
0.793,0.673
0.843,0.604
0.893,0.376
0.943,0.082
0.993,0.01
1.043,0.225
1.093,0.273
1.143,0.32
1.193,0.812
1.243,1.058
1.293,1.29
1.343,1.697
1.393,1.966
1.443,2.344
1.493,2.535
1.543,2.891
1.593,3.111
1.643,3.21
1.693,4.058
1.743,4.632
1.793,5.08
1.843,5.416
1.893,5.959
1.943,5.23
1.993,4.447
2.043,3.586
2.093,3.011
2.143,-5.949
2.193,-7.913
2.243,NaN
2.348,NaN
2.461,NaN
2.589,NaN
2.744,NaN
2.957,NaN
3.313,NaN
3.627,NaN
3.941,NaN
4.253,NaN
4.566,NaN
4.879,NaN
5.191,NaN
5.504,NaN
5.816,NaN
6.312,NaN
