# Tempo (s),posizione CP  (cm)
0,NaN
0.003,NaN
0.005,NaN
0.008,NaN
0.011,NaN
0.015,NaN
0.019,NaN
0.022,NaN
0.026,NaN
0.03,NaN
0.034,NaN
0.037,NaN
0.04,NaN
0.042,NaN
0.045,NaN
0.047,NaN
0.05,NaN
0.052,NaN
0.055,NaN
0.057,NaN
0.06,NaN
0.062,NaN
0.065,NaN
0.067,NaN
0.07,NaN
0.072,NaN
0.075,NaN
0.077,NaN
0.08,NaN
0.082,NaN
0.085,59.097
0.089,59.095
0.094,59.093
0.103,59.089
0.115,59.082
0.134,59.082
0.156,59.101
0.178,59.149
0.203,59.222
0.231,59.351
0.266,59.537
0.316,59.846
0.366,60.024
0.416,59.713
0.466,59.501
0.516,59.345
0.56,59.254
0.601,59.239
0.644,59.288
0.693,59.329
0.743,59.453
0.793,59.583
0.843,59.631
0.893,59.803
0.943,60.042
0.993,60.112
1.043,59.928
1.093,59.888
1.143,59.85
1.193,59.484
1.243,59.319
1.293,59.175
1.343,58.942
1.393,58.799
1.443,58.611
1.493,58.515
1.543,58.353
1.593,58.248
1.643,58.184
1.693,57.883
1.743,57.69
1.793,57.538
1.843,57.409
1.893,57.13
1.943,56.913
1.993,56.738
2.043,56.614
2.093,56.591
2.143,62.985
2.193,64.355
2.243,00
2.348,00
2.461,00
2.589,00
2.744,00
2.957,00
3.313,00
3.627,00
3.941,00
4.253,00
4.566,00
4.879,00
5.191,00
5.504,00
5.816,00
6.312,00
