# Tempo (s),coefficiente della forza normale (​)
0,NaN
0.003,NaN
0.005,NaN
0.008,NaN
0.011,NaN
0.015,NaN
0.019,NaN
0.022,NaN
0.026,NaN
0.03,NaN
0.034,NaN
0.037,NaN
0.04,NaN
0.042,NaN
0.045,NaN
0.047,NaN
0.05,NaN
0.052,NaN
0.055,NaN
0.057,NaN
0.06,NaN
0.062,NaN
0.065,NaN
0.067,NaN
0.07,NaN
0.072,NaN
0.075,NaN
0.077,NaN
0.08,NaN
0.082,NaN
0.085,0.72
0.089,0.722
0.094,0.724
0.103,0.727
0.115,0.733
0.134,0.733
0.156,0.716
0.178,0.673
0.203,0.61
0.231,0.505
0.266,0.365
0.316,0.16
0.366,0.055
0.416,0.243
0.466,0.389
0.516,0.507
0.56,0.58
0.601,0.592
0.644,0.552
0.693,0.519
0.743,0.422
0.793,0.329
0.843,0.295
0.893,0.183
0.943,0.041
0.993,0.002
1.043,0.106
1.093,0.13
1.143,0.153
1.193,0.397
1.243,0.523
1.293,0.642
1.343,0.855
1.393,1.001
1.443,1.21
1.493,1.328
1.543,1.542
1.593,1.694
1.643,1.791
1.693,2.319
1.743,2.726
1.793,3.101
1.843,3.465
1.893,4.257
1.943,4.834
1.993,5.579
2.043,6.598
2.093,8.201
2.143,2.856
2.193,2.879
2.243,NaN
2.348,NaN
2.461,NaN
2.589,NaN
2.744,NaN
2.957,NaN
3.313,NaN
3.627,NaN
3.941,NaN
4.253,NaN
4.566,NaN
4.879,NaN
5.191,NaN
5.504,NaN
5.816,NaN
6.312,NaN
