# Tempo (s),Spinta (N)
0
0.003,537.392
0.005,536.237
0.008,534.522
0.011,530.306
0.015,524.506
0.019,517.227
0.022,508.713
0.026,498.869
0.03,487.949
0.034,476.105
0.037,463.495
0.04,497.282
0.042,890.639
0.045,890.431
0.047,825.914
0.05,761.665
0.052,700.868
0.055,641.209
0.057,580.994
0.06,273.366
0.062,305.307
0.065,223.577
0.067,162.068
0.07,115.269
0.072,79.312
0.075,49.117
0.077,24.397
0.08,7.415
0.082,0.254
0.085,0
0.089,0
0.094,0
0.103,0
0.115,0
0.134,0
0.156,0
0.178,0
0.203,0
0.231,0
0.266,0
0.316,0
0.366,0
0.416,0
0.466,0
0.516,0
0.56,0
0.601,0
0.644,0
0.693,0
0.743,0
0.793,0
0.843,0
0.893,0
0.943,0
0.993,0
1.043,00
1.093,00
1.143,00
1.193,00
1.243,00
1.293,00
1.343,00
1.393,00
1.443,00
1.493,00
1.543,00
1.593,00
1.643,00
1.693,00
1.743,00
1.793,00
1.843,00
1.893,00
1.943,00
1.993,00
2.043,00
2.093,00
2.143,00
2.193,00
2.243,00
2.348,00
2.461,00
2.589,00
2.744,00
2.957,00
3.313,00
3.627,00
3.941,00
4.253,00
4.566,00
4.879,00
5.191,00
5.504,00
5.816,00
6.312,00
